Price,Adj Close,Close,High,Low,Open,Volume,return,volatility
Ticker,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,,
Date,,,,,,,,
2021-07-27,136.30674743652344,136.79649353027344,140.01100158691406,135.10000610351562,140.01100158691406,42164000,-2.0394696441398796,30.822842323408434
2021-07-28,135.89321899414062,136.38150024414062,139.67599487304688,136.35000610351562,138.56199645996094,54688000,-0.30336544119163866,31.710218815483874
2021-07-29,136.05166625976562,136.54049682617188,137.15150451660156,136.13800048828125,136.38059997558594,19284000,0.11658222100989768,31.88474136430618
2021-07-30,134.7368621826172,135.2209930419922,135.77134704589844,134.81419372558594,135.51100158691406,23954000,-0.9663827324867036,19.863752414332687
2021-08-02,135.50262451171875,135.989501953125,136.02049255371094,134.66949462890625,135.4844970703125,20140000,0.5683355031227633,16.158831989989565
2021-08-03,135.79208374023438,136.27999877929688,136.3354949951172,134.18350219726562,136.0,19064000,0.21361709690796982,9.326172815678651
2021-08-04,135.54150390625,136.02850341796875,136.53799438476562,135.4149932861328,136.24949645996094,16528000,-0.18454311973939985,9.179256328881227
2021-08-05,136.44972229003906,136.94000244140625,136.9499969482422,135.60000610351562,136.02850341796875,11866000,0.6700794322766157,10.552258105037685
2021-08-06,136.54537963867188,137.03599548339844,137.08004760742188,136.04649353027344,136.2949981689453,13560000,0.07009861273608031,5.605667564952841
2021-08-09,137.50791931152344,138.0019989013672,138.32150268554688,136.4287567138672,136.94900512695312,12374000,0.7049267709269724,6.127075853863159
2021-08-10,137.60208129882812,138.09649658203125,138.55149841308594,137.22650146484375,138.07949829101562,16034000,0.06847558833666945,6.3315164772950085
2021-08-11,137.196533203125,137.6894989013672,138.84774780273438,137.35000610351562,138.2830047607422,15204000,-0.2947197725775008,6.852137200406231
2021-08-12,137.89402770996094,138.38949584960938,138.41799926757812,136.7790069580078,137.71299743652344,14646000,0.5083880425359233,6.291600695869479
2021-08-13,137.9104766845703,138.406005859375,138.6739959716797,138.0050048828125,138.3574981689453,12580000,0.011930103267054903,6.386755849438813
2021-08-16,138.4186553955078,138.91600036621094,138.99049377441406,136.16575622558594,138.0,18040000,0.36847715073442533,5.008212224663392
2021-08-17,136.80892944335938,137.30050659179688,138.718505859375,136.78750610351562,138.1909942626953,21272000,-1.16292851086649,10.55660699589828
2021-08-18,136.0810546875,136.57000732421875,138.29400634765625,136.42100524902344,137.11549377441406,14934000,-0.5320441167416368,10.940362050950073
2021-08-19,136.42330932617188,136.9134979248047,137.45199584960938,135.3560028076172,135.46749877929688,18296000,0.2515124713806882,10.066971674858086
2021-08-20,137.9413604736328,138.43699645996094,138.614501953125,136.4669952392578,137.08299255371094,15564000,1.112745316019148,13.91268291348955
2021-08-23,140.59432983398438,141.09950256347656,142.177001953125,138.74795532226562,138.99850463867188,21090000,1.923261968693235,19.649520813644088
2021-08-24,141.888671875,142.39849853515625,143.00750732421875,141.35350036621094,141.5435028076172,15126000,0.9206240618001571,14.696303244958406
2021-08-25,142.43820190429688,142.9499969482422,143.31300354003906,142.4394989013672,142.88299560546875,12838000,0.3872922950446611,10.572751859784626
2021-08-26,141.61416625976562,142.1230010986328,143.13479614257812,142.0915069580078,142.61849975585938,14922000,-0.5785210683906472,14.70796507598139
2021-08-27,144.03297424316406,144.55050659179688,145.01100158691406,142.02000427246094,142.1125030517578,24562000,1.7080314054720658,16.16048558666785
2021-08-30,144.9486846923828,145.46949768066406,146.489501953125,144.60000610351562,144.70449829101562,16916000,0.6357577780494283,13.198050198084958
2021-08-31,144.94122314453125,145.46200561523438,146.11199951171875,145.0,145.88450622558594,26756000,-0.005150265553355293,13.479302632484567
2021-09-01,145.31983947753906,145.8419952392578,146.82049560546875,145.614501953125,145.64999389648438,15824000,0.2612294684211536,13.533760977679222
2021-09-02,143.70266723632812,144.218994140625,146.3249969482422,144.10650634765625,145.94949340820312,21844000,-1.1128489403688158,16.239423681827365
2021-09-03,144.2566680908203,144.77499389648438,145.3769989013672,143.5050048828125,144.14599609375,19104000,0.3855246385349398,10.807801797065533
2021-09-07,144.9980010986328,145.5189971923828,145.82400512695312,144.54100036621094,144.74949645996094,15170000,0.5139031789083814,10.406771838538631
2021-09-08,144.36477661132812,144.8834991455078,145.55099487304688,144.1999969482422,145.39349365234375,15486000,-0.4367113979179216,10.882629473470612
2021-09-09,144.39466857910156,144.9134979248047,145.66949462890625,144.4340057373047,144.8834991455078,14798000,0.020705449187663483,10.539132163545311
2021-09-10,141.41290283203125,141.92100524902344,146.0189971923828,141.7415008544922,145.44349670410156,32896000,-2.0650199730421592,16.58845865228429
2021-09-13,142.9513702392578,143.46499633789062,144.1909942626953,142.28250122070312,143.2010040283203,20176000,1.0879228808716501,19.03042869368983
2021-09-14,142.892578125,143.406005859375,144.7274932861328,142.90550231933594,144.16099548339844,18916000,-0.04111837731950452,18.150682363452
2021-09-15,144.68612670898438,145.20599365234375,145.5814971923828,142.25599670410156,143.75900268554688,20648000,1.2551690441290342,21.018254289004528
2021-09-16,143.85659790039062,144.37350463867188,145.1999969482422,143.41635131835938,145.12100219726562,20292000,-0.573315875421121,21.490892842774212
2021-09-17,140.95703125,141.4635009765625,144.24949645996094,141.06149291992188,143.79849243164062,60040000,-2.0156078287303036,21.20244545482444
2021-09-20,138.51927185058594,139.01699829101562,139.3625030517578,137.05299377441406,139.0001983642578,34918000,-1.7294232566407386,21.048064645474096
2021-09-21,139.14651489257812,139.64649963378906,140.8115997314453,138.90550231933594,140.11700439453125,18130000,0.4528232881677141,22.16751373875415
2021-09-22,140.4339141845703,140.93850708007812,141.58349609375,139.4717559814453,140.05050659179688,22068000,0.925198590496179,20.56684761965501
2021-09-23,141.31874084472656,141.82650756835938,142.25245666503906,141.09649658203125,141.6094970703125,17272000,0.6300623631387836,22.320770061687213
2021-09-24,142.12232971191406,142.63299560546875,142.90350341796875,140.85049438476562,140.9459991455078,14950000,0.5686440785553915,17.0765285248454
2021-09-27,140.99440002441406,141.50100708007812,142.5,140.5,141.5854949951172,18844000,-0.7936372089679566,10.575786303476464
2021-09-28,135.69642639160156,136.1840057373047,139.60650634765625,135.6999969482422,139.0885009765625,42190000,-3.757571378813185,30.891287841127404
2021-09-29,134.03936767578125,134.52099609375,137.39849853515625,134.25,137.1096954345703,26338000,-1.2211490141967096,28.371753080532972
2021-09-30,132.7883758544922,133.2655029296875,135.58999633789062,133.0,134.3249969482422,35294000,-0.9333064729817542,24.976788660595943
2021-10-01,135.9739227294922,136.46249389648438,137.0709991455078,133.37750244140625,133.55450439453125,28388000,2.398963645140517,34.74030180981335
2021-10-04,133.2860870361328,133.76499938964844,135.6999969482422,131.16650390625,135.69949340820312,31530000,-1.9767295978645683,35.599738613393434
